#--------------------------------------------------------------
   390    0.942    0.488  250.822 
   391   -0.178    0.487  276.161 
   392   -0.471    0.513  216.914 
   393   -0.219    0.504  234.731 
   394   -0.052    0.513  226.463 
   395   -0.712    0.513  216.432 
   396   -0.474    0.486  277.727 
   397   -0.072    0.512  233.558 
   398    0.920    0.495  288.648 
   399   -1.020    0.498  272.436 
   400    0.103    0.524  251.144 
   401    1.018    0.511  229.138 
   402    1.267    0.500  273.278 
   403    1.380    0.504  247.484 
   404    0.034    0.520  205.199 
   405   -0.007    0.501  220.550 
   406   -0.165    0.499  239.168 
   407   -0.762    0.498  251.724 
   408   -0.928    0.516  241.636 
   409   -1.783    0.518  242.243 
   410   -1.525    0.503  241.938 
   411   -1.206    0.517  242.769 
   412   -1.075    0.513  232.025 
   413   -0.824    0.513  218.882 
   414   -0.828    0.534  207.448 
   415   -0.896    0.521  232.659 
   416   -0.144    0.512  218.554 
   417    0.215    0.524  199.846 
   418    1.046    0.505  251.205 
   419    0.619    0.513  251.470 
   420   -0.008    0.522  192.782 
   421    0.251    0.502  195.137 
   422    0.331    0.503  207.599 
   423   -0.053    0.506  204.672 
   424   -0.626    0.516  205.535 
   425   -0.745    0.502  194.849 
   426   -1.030    0.510  196.798 
   427   -0.845    0.511  249.389 
   428   -1.196    0.513  211.833 
   429   -0.359    0.527  213.773 
   430   -0.429    0.504  229.598 
   431   -0.288    0.518  212.220 
   432   -0.347    0.520  231.734 
   433    0.171    0.525  230.092 
   434    0.511    0.529  207.438 
   435    0.473    0.529  223.217 
   436   -0.034    0.534  203.629 
   437   -0.334    0.524  290.567 
   438   -0.055    0.519  196.002 
   439   -1.105    0.514  224.192 
   440   -0.627    0.537  216.050 
   441   -2.255    0.528  198.742 
   442   -1.606    0.519  252.245 
   443   -2.052    0.505  254.397 
   444   -1.152    0.529  174.660 
   445   -0.066    0.517  204.719 
   446   -0.862    0.516  191.274 
   447   -0.092    0.505  190.179 
   448    0.719    0.520  218.616 
   449    0.818    0.517  219.913 
   450    1.461    0.532  180.357 
   451    1.270    0.522  221.461 
   452    0.659    0.525  218.111 
   453    0.576    0.529  211.728 
   454    0.212    0.519  249.756 
   455    1.025    0.522  234.646 
   456   -0.189    0.528  214.133 
   457   -0.887    0.528  189.904 
   458   -0.173    0.530  214.163 
   459   -0.460    0.532  237.379 
   460   -0.594    0.530  186.715 
   461   -0.493    0.531  207.489 
   462    0.288    0.543  194.202 
   463   -0.355    0.553  142.186 
   464    1.025    0.543  165.760 
   465    0.822    0.536  185.853 
   466    0.349    0.520  196.898 
   467    0.632    0.531  201.748 
   468    0.140    0.525  204.851 
   469    0.247    0.526  175.992 
   470    0.395    0.524  214.935 
   471    0.254    0.521  232.343 
   472   -0.681    0.534  195.199 
   473   -1.418    0.532  214.481 
   474   -1.150    0.525  226.953 
   475   -1.311    0.523  225.896 
   476   -0.600    0.538  179.019 
   477   -1.009    0.542  209.548 
   478   -0.932    0.553  209.296 
   479   -0.089    0.538  223.996 
   480   -0.020    0.549  189.499 
   481   -0.172    0.543  215.289 
   482    0.161    0.546  200.210 
   483    0.366    0.534  235.063 
   484    0.649    0.528  232.502 
   485    0.042    0.535  275.996 
   486   -0.536    0.536  216.264 
   487    0.059    0.535  191.334 
